Trip_ID,System_prompt,User_prompt,Review_score
7225,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2025-04-19. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The weather at the destination was unexpectedly bad, which impacted outdoor plans and overall enjoyment. The tone and content should naturally reflect these details without explicitly listing them.",5.3
2853,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication.","Write a 1-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2024-10-27. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The beds at the accommodation were uncomfortable, leading to restless nights during the trip. The tone and content should naturally reflect these details without explicitly listing them.",6.3
9379,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a younger traveler and are more price-sensitive, expecting good value for the cost.","Write a 3-sentence customer review of a travel agency experience. The trip was to Bali, Indonesia and started on 05/22/2025. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The weather at the destination was unexpectedly bad, which impacted outdoor plans and overall enjoyment. The tone and content should naturally reflect these details without explicitly listing them.",7.5
215,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Rome, Italy and started on 2024-04-28. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip involved a large group, and there were frustrations around coordinating passports and traveler information. Your boss has been a real pain at work. The tone and content should naturally reflect these details without explicitly listing them.",5.6
4970,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 04/03/2022. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip involved a large group, and there were frustrations around coordinating passports and traveler information. The tone and content should naturally reflect these details without explicitly listing them.",7.9
7520,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication.","Write a 1-sentence customer review of a travel agency experience. The trip was to Cairo, Egypt and started on 2024-09-14. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The beds at the accommodation were uncomfortable, leading to restless nights during the trip. The tone and content should naturally reflect these details without explicitly listing them.",6.1
5738,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 4-sentence customer review of a travel agency experience. The trip was to Tokyo, Japan and started on 2023-06-10. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The weather at the destination was unexpectedly bad, which impacted outdoor plans and overall enjoyment. The agent's accent was hard to understand, which made communication frustrating. The tone and content should naturally reflect these details without explicitly listing them.",5.6
9620,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2023-01-05. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip was booked close to the travel date, causing delays in communication. The tone and content should naturally reflect these details without explicitly listing them.",6.3
2246,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 4-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 02/28/2026. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. You've been trying to eat healthier but it's been a struggle. Your boss has been a real pain at work. The tone and content should naturally reflect these details without explicitly listing them.",5.4
9074,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2024-07-04. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel negative. You've been really getting into non-fiction literature lately. The tone and content should naturally reflect these details without explicitly listing them.",4.7
7442,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2022-07-14. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",4.9
7591,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 1-sentence customer review of a travel agency experience. The trip was to Johannesburg, South Africa and started on 2024-08-25. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The destination is less popular and should be described as a 'hidden gem' or uniquely enjoyable. The tone and content should naturally reflect these details without explicitly listing them.",6.1
373,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Marrakech, Morocco and started on 2023-09-19. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip was booked close to the travel date, causing delays in communication. The tone and content should naturally reflect these details without explicitly listing them.",6.5
8285,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 3-sentence customer review of a travel agency experience. The trip was to Tokyo, Japan and started on 2022-03-19. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip was booked close to the travel date, causing delays in communication. The tone and content should naturally reflect these details without explicitly listing them.",4.5
7827,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 4-sentence customer review of a travel agency experience. The trip was to Paris, France and started on 2022-03-14. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",6.8
8720,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication.","Write a 3-sentence customer review of a travel agency experience. The trip was to Bangkok, Thailand and started on 2026-01-07. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",6.1
1183,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to New Delhi, India and started on 2022-08-16. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",5.6
3271,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Bali, Indonesia and started on 2024-10-28. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The check-in process was lengthy and inefficient, causing delays in settling into the accommodation. The tone and content should naturally reflect these details without explicitly listing them.",7.6
2767,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication.","Write a 4-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2022-08-22. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",5.5
3629,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Paris, France and started on 2021-08-14. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",7.2
6667,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2021-06-06. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel negative. The weather at the destination was unexpectedly bad, which impacted outdoor plans and overall enjoyment. The tone and content should naturally reflect these details without explicitly listing them.",4.4
4887,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 1-sentence customer review of a travel agency experience. The trip was to Paris, France and started on 2025-09-08. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The accommodation booked by the agency was subpar and detracted from the overall enjoyment of the trip. The tap water tasted weird at the accommodation, which was a minor but annoying issue. The tone and content should naturally reflect these details without explicitly listing them.",6.3
3987,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a younger traveler and are more price-sensitive, expecting good value for the cost.","Write a 4-sentence customer review of a travel agency experience. The trip was to Marrakech, Morocco and started on 2023-10-16. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel negative. The trip was booked close to the travel date, causing delays in communication. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",4.9
1894,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Santiago, Chile and started on 2024-01-21. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The local tour guide recommended by the agency was unprofessional and detracted from the sightseeing experience. Your cat was lonely while you were away and has been extra affectionate since you returned. The tone and content should naturally reflect these details without explicitly listing them.",6.3
5166,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Bali, Indonesia and started on 2026-01-18. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",5.6
5483,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 1-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 09/14/2023. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The destination was more crowded than anticipated, which made it difficult to enjoy popular attractions. The tone and content should naturally reflect these details without explicitly listing them.",5.2
4693,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2021-10-16. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",6.1
6574,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a younger traveler and are more price-sensitive, expecting good value for the cost.","Write a 2-sentence customer review of a travel agency experience. The trip was to Cape Town ( South Africa and started on 2023-02-18. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. Your football team has been doing really well this season. The tone and content should naturally reflect these details without explicitly listing them.",5.1
3124,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2023-01-10. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",6.2
8938,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Rome, Italy and started on 2022-02-10. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",5.2
5824,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2022-10-26. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",5.1
9495,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Rome;  Italy and started on 2022-02-20. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",6.0
8401,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 05/09/2023. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip was booked close to the travel date, causing delays in communication. The transportation arrangements were comfortable and reliable, making the travel experience smooth. The tone and content should naturally reflect these details without explicitly listing them.",6.2
8122,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Johannesburg, South Africa and started on 2022-12-20. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip involved a large group, and there were frustrations around coordinating passports and traveler information. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",6.4
7190,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Bangkok, Thailand and started on 2022-08-21. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip involved a large group, and there were frustrations around coordinating passports and traveler information. The tone and content should naturally reflect these details without explicitly listing them.",6.9
4784,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Bali, Indonesia and started on 2021-11-15. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip was booked close to the travel date, causing delays in communication. The cost felt high for the value provided, contributing to a less satisfied experience. The food recommendations provided by the agency were fantastic and enhanced the trip experience. The agent's accent was hard to understand, which made communication frustrating. The tone and content should naturally reflect these details without explicitly listing them.",6.3
7318,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a younger traveler and are more price-sensitive, expecting good value for the cost. You are a repeat customer and generally have a positive tone.","Write a 1-sentence customer review of a travel agency experience. The trip was to Bali, Indonesia and started on 2025-09-29. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The destination is less popular and should be described as a 'hidden gem' or uniquely enjoyable. The trip was booked close to the travel date, causing delays in communication. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",5.3
1317,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2021-12-06. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The accommodation booked by the agency was subpar and detracted from the overall enjoyment of the trip. The tone and content should naturally reflect these details without explicitly listing them.",3.3
3721,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 4-sentence customer review of a travel agency experience. The trip was to Cape Town ( South Africa and started on 2023-05-12. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. Your boss has been a real pain at work. You've been trying to eat healthier but it's been a struggle. The tone and content should naturally reflect these details without explicitly listing them.",7.9
7245,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 3-sentence customer review of a travel agency experience. The trip was to Rome, Italy and started on 2024-04-16. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",5.9
6040,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication.","Write a 1-sentence customer review of a travel agency experience. The trip was to Rome, Italy and started on 2023-06-11. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. You've been really getting into non-fiction literature lately. The tone and content should naturally reflect these details without explicitly listing them.",6.8
6104,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 4-sentence customer review of a travel agency experience. The trip was to Santiago, Chile and started on 2021-11-02. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",5.1
4103,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Tokyo, Japan and started on 2024-03-05. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip involved a large group, and there were frustrations around coordinating passports and traveler information. The weather at the destination was unexpectedly bad, which impacted outdoor plans and overall enjoyment. The tone and content should naturally reflect these details without explicitly listing them.",5.9
8209,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2022-11-02. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The destination is less popular and should be described as a 'hidden gem' or uniquely enjoyable. The tone and content should naturally reflect these details without explicitly listing them.",6.4
1545,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication.","Write a 3-sentence customer review of a travel agency experience. The trip was to Rome, Italy and started on 2023-07-24. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel negative. The trip involved a large group, and there were frustrations around coordinating passports and traveler information. Your neighbor Daniel is a real asshole, isn't he? You've been really getting into non-fiction literature lately. The tone and content should naturally reflect these details without explicitly listing them.",4.3
1425,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 2-sentence customer review of a travel agency experience. The trip was to Tokyo, Japan and started on 2023-09-05. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip was booked close to the travel date, causing delays in communication. The tone and content should naturally reflect these details without explicitly listing them.",5.8
8176,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a younger traveler and are more price-sensitive, expecting good value for the cost.","Write a 4-sentence customer review of a travel agency experience. The trip was to Reykjavik, Iceland and started on 2022-04-01. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The destination is less popular and should be described as a 'hidden gem' or uniquely enjoyable. The locals were rude and unhelpful, which negatively impacted the overall experience of the trip. The tone and content should naturally reflect these details without explicitly listing them.",7.1
1440,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2021-09-05. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel negative. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",4.9
6368,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 4-sentence customer review of a travel agency experience. The trip was to New Delhi, India and started on 2023-05-27. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",6.4
642,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2025-06-18. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip was booked close to the travel date, causing delays in communication. The Wi-Fi connection at the accommodation was unreliable, affecting productivity and entertainment. Your football team has been doing really well this season. The tone and content should naturally reflect these details without explicitly listing them.",4.6
5046,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2025-10-30. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The beds at the accommodation were uncomfortable, leading to restless nights during the trip. The tone and content should naturally reflect these details without explicitly listing them.",7.6
7503,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Cairo, Egypt and started on 2021-12-16. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",5.7
9498,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 1-sentence customer review of a travel agency experience. The trip was to Lima, Peru and started on 2025-07-02. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",6.6
5779,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Bangkok ( Thailand and started on 2024-04-10. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. The tone and content should naturally reflect these details without explicitly listing them.",6.9
