Trip_ID,TransactionMonth,Destination,Start_date,End_date,Number_of_travelers,Client_ID,Client_age_range,Client_gender,Referral_source,Client_credit_card,Client_nationality,Client_age,Client_rank,Time_of_first_call,Accommodation_type,Transportation_cost,Accommodation_cost,Tours_cost,Insurance_cost,Agency_fee,Agency_hours,On_call_hours,Associates_involved,Internal_service_failures
34,2021-01,"Paris, France",2021-03-08,2021-03-17,1.0,557.0,36-50,M,Search Engine,MasterCard,USA,,na,Afternoon,Budget,621.62,855.0,92.48,29.53,906.22,7.7,,1.0,
35,2025-01,"Tokyo, Japan",2025-02-25,2025-03-07,,1517.0,36-50,M,Search Engine,Visa,Italy,48.0,na,Morning,Standard,1745.81,6120.0,139.75,100.0,702.33,11.86,,2.0,
36,2025-10,"Tokyo, Japan",01/12/2026,2026-01-25,2.0,4337.0,51+,M,Online Ad,MasterCard,Iceland,63.0,na,Morning,Budget,1567.96,2210.0,93.29,100.0,595.83,10.19,,0.0,1.0
37,2021-04,"Lima, Peru",2021-09-05,2021-09-12,6.0,4418.0,36-50,F,Online Ad,Visa,Canada,40.0,na,Morning,Budget,3949.3,2730.0,86.8,100.0,1159.07,20.21,,,0.0
38,2023-10,"New Delhi, India",2024-03-07,2024-03-14,1.0,3622.0,36-50,F,Friend/Family,Amex,Japan,38.0,V.I.P.,Afternoon,Budget,490.28,490.0,85.52,,974.58,11.06,3.7,1.0,0.0
39,2022-12,"Bali, Indonesia",01/27/2023,2023-02-09,7.0,2016.0,26-35,M,Online Ad,,UK,26.0,na,Morning,,6048.24,6825.0,65.29,100.0,1189.91,21.6,15.17,0.0,1.0
40,2024-02,"Barcelona, Spain",2024-04-10,2024-04-19,1.0,2577.0,51+,F,Online Ad,MasterCard,Canada,56.0,na,Afternoon,Budget,644.36,810.0,100.64,29.03,624.77,10.47,4.88,0.0,0.0
41,2021-02,"Santiago, Chile",2021-03-15,2021-03-23,7.0,3883.0,36-50,M,Other,Discover,South Korea,44.0,na,Morning,Standard,4315.62,8601.6,76.75,100.0,1228.56,26.55,,0.0,0.0
42,2021-02,"Paris, France",2021-04-16,2021-04-23,3.0,2444.0,51+,M,Online Ad,MasterCard,Spain,64.0,na,,Standard,1454.4,4788.0,97.78,100.0,769.13,9.66,4.56,0.0,0.0
43,2021-05,"Barcelona, Spain",06/20/2021,2021-06-28,5.0,3420.0,51+,M,Social Media,Visa,USA,54.0,Frequent,Morning,Standard,2956.26,8640.0,126.53,100.0,801.5,15.39,8.13,0.0,0.0
44,2023-04,"Johannesburg, South Africa",2023-07-20,2023-08-02,1.0,,36-50,F,,Visa,Austria,50.0,na,Evening,Budget,813.27,858.0,84.23,93.42,932.39,13.48,5.34,0.0,0.0
45,2022-02,"Buenos Aires, Argentina",2022-04-11,2022-04-24,1.0,1058.0,26-35,F,Online Ad,Visa,UK,26.0,Frequent Traveler,Evening,Budget,479.0,819.0,103.27,,1413.05,11.64,3.95,1.0,
46,2024-07,"Barcelona, Spain",2024-11-10,2024-11-14,,2955.0,26-35,F,Search Engine,Amex,Japan,31.0,Frequent Traveler,Morning,Standard,4803.13,6912.0,122.01,100.0,898.31,23.4,15.11,0.0,0.0
47,2021-08,"Bali, Indonesia",2021-11-11,2021-11-24,1.0,3120.0,51+,F,Other,,Mexico,62.0,na,Morning,Standard,538.69,2340.0,170.19,100.0,950.97,12.79,5.8,0.0,0.0
48,2023-06,"Lima, Peru",2023-07-20,2023-07-28,3.0,1113.0,36-50,Other,,Visa,Romania,40.0,na,Morning,Standard,1965.48,3744.0,113.4,100.0,984.4,14.47,,0.0,
49,2023-10,"Bangkok, Thailand",2024-03-09,2024-03-15,4.0,2348.0,36-50,M,Search Engine,Visa,Germany,43.0,Frequent Traveler,Evening,Standard,2414.75,5040.0,137.23,100.0,763.79,11.89,7.17,0.0,1.0
50,2021-05,"Reykjavik, Iceland",2021-09-28,2021-10-08,2.0,4418.0,36-50,F,Online Ad,,Canada,40.0,Frequent,Evening,Standard,1280.09,3840.0,116.36,100.0,1036.89,11.31,,1.0,1.0
51,2023-05,"Barcelona, Spain",06/26/2023,2023-07-04,8.0,1354.0,18-25,M,Friend/Family,Visa,UK,18.0,frequent,Afternoon,Budget,5882.91,5760.0,65.77,100.0,1010.35,22.45,,2.0,0.0
52,2021-10,"Reykjavik, Iceland",2022-01-24,2022-01-28,3.0,3215.0,51+,M,Search Engine,Amex,USA,56.0,na,Morning,Standard,1590.51,2304.0,141.5,100.0,894.94,12.38,6.46,1.0,
53,2025-02,"Tokyo, Japan",2025-07-05,2025-07-11,5.0,3458.0,36-50,M,Friend/Family,MasterCard,Poland,45.0,na,Evening,Standard,3283.26,6120.0,126.77,100.0,685.41,14.57,6.51,0.0,0.0
54,2023-05,"Bali, Indonesia",2023-08-11,2023-08-25,3.0,2245.0,51+,F,Social Media,Visa,India,60.0,na,Afternoon,Budget,1831.44,3150.0,99.78,100.0,887.1,14.7,7.26,0.0,0.0
55,2023-10,"Rome, Italy",2023-12-01,2023-12-08,4.0,3987.0,18-25,F,,MasterCard,UK,25.0,frequent,Evening,Budget,2322.64,2590.0,65.0,100.0,944.86,10.77,4.74,,
56,2023-07,"Reykjavik, Iceland",2023-09-04,2023-09-18,2.0,3449.0,18-25,F,Social Media,Amex,India,20.0,Frequent,Morning,Budget,1235.08,2240.0,62.03,100.0,1093.98,9.48,3.33,1.0,0.0
57,2021-01,"Johannesburg, South Africa",2021-05-01,2021-05-07,1.0,1145.0,51+,M,Other,MasterCard,Switzerland,57.0,Frequent,Afternoon,Standard,,950.4,102.75,68.54,1050.95,13.83,5.9,0.0,
58,2025-05,"Tokyo, Japan",2025-07-14,2025-07-27,1.0,3276.0,36-50,M,Search Engine,MasterCard,Poland,43.0,na,Morning,Budget,389.25,1105.0,59.32,73.16,699.14,8.4,,0.0,
59,2022-06,"Paris, France",2022-08-01,2022-08-09,2.0,1524.0,18-25,M,Friend/Family,MasterCard,Colombia,24.0,na,Afternoon,Luxury,650.37,9120.0,107.09,100.0,1000.41,7.2,2.02,0.0,0.0
60,2022-11,"Bali, Indonesia",2023-03-25,2023-03-28,2.0,4523.0,36-50,M,Friend/Family,,Romania,42.0,na,Morning,Luxury,1196.17,2700.0,141.38,100.0,970.6,10.66,6.02,0.0,2.0
61,2024-08,"New Delhi, India",2024-12-24,2025-01-01,3.0,2534.0,18-25,M,Friend/Family,Visa,Brazil,22.0,frequent,Morning,Standard,1905.36,4032.0,137.63,100.0,1129.58,12.61,,0.0,0.0
62,2023-05,"Marrakech, Morocco",2023-06-22,2023-07-05,6.0,1286.0,51+,M,Social Media,Amex,Japan,57.0,na,Afternoon,Standard,4352.97,12636.0,128.2,100.0,,22.93,17.51,0.0,1.0
63,2021-06,"New Delhi, India",2021-07-17,2021-07-24,2.0,2924.0,26-35,M,Online Ad,Visa,Kenya,32.0,na,Morning,Luxury,1527.36,5880.0,101.83,100.0,1422.35,11.49,,,
64,2022-09,"Tokyo, Japan",2022-11-27,2022-12-05,7.0,4847.0,36-50,F,Friend/Family,Amex,USA,48.0,Frequent Traveler,Morning,Budget,3723.24,4760.0,40.62,100.0,909.0,22.13,,0.0,2.0
65,2022-02,"Bali, Indonesia",07/27/2022,2022-08-05,3.0,2927.0,51+,F,Social Media,MasterCard,Venezuela,68.0,Frequent Traveler,Afternoon,Standard,2425.46,4860.0,93.39,100.0,924.44,14.76,9.4,0.0,0.0
66,2021-07,"Tokyo, Japan",2021-10-20,2021-10-26,8.0,333.0,51+,M,Search Engine,MasterCard,Mexico,58.0,na,Evening,Budget,4693.03,4080.0,60.68,100.0,903.78,26.73,,0.0,1.0
67,2024-02,"New Delhi, India",2024-05-31,2024-06-03,7.0,2527.0,36-50,M,Search Engine,Discover,Nigeria,42.0,na,Afternoon,,4467.52,3528.0,105.83,100.0,906.94,23.38,16.96,0.0,0.0
68,2021-09,"Marrakech, Morocco",2021-10-25,2021-11-03,3.0,2771.0,36-50,F,Other,MasterCard,UK,,na,Afternoon,Budget,2084.4,1822.5,99.2,100.0,1145.89,13.3,6.97,0.0,0.0
69,2023-09,"Paris, France",2024-02-14,2024-02-24,3.0,4012.0,51+,F,Search Engine,Visa,Brazil,68.0,Frequent,Afternoon,Budget,908.55,2850.0,79.11,100.0,649.21,11.14,4.63,1.0,0.0
70,2024-08,"Bangkok, Thailand",2024-11-01,2024-11-04,1.0,1787.0,36-50,F,Other,Visa,UK,45.0,na,Evening,Standard,586.01,630.0,133.89,80.68,766.83,8.63,,0.0,1.0
71,2025-02,"Bangkok, Thailand",2025-05-09,2025-05-21,2.0,2228.0,51+,M,Social Media,Visa,China,64.0,na,Evening,Budget,1362.01,2100.0,83.67,100.0,675.18,8.48,5.06,0.0,0.0
72,2022-07,"Santiago, Chile",2022-08-20,2022-08-28,5.0,4843.0,51+,M,Online Ad,Discover,Portugal,60.0,na,Morning,Budget,4213.59,2560.0,94.91,100.0,971.02,20.84,18.7,,2.0
73,2023-03,"Marrakech, Morocco",2023-07-30,2023-08-09,3.0,2747.0,51+,M,Friend/Family,Visa,Egypt,51.0,na,,Standard,1790.45,4860.0,138.07,100.0,907.25,14.47,,0.0,0.0
74,2021-03,"Barcelona, Spain",2021-04-02,2021-04-09,3.0,3264.0,18-25,F,Friend/Family,Visa,Thailand,23.0,Frequent,Afternoon,Standard,1230.34,4536.0,75.04,100.0,1161.71,9.55,5.47,,0.0
75,2025-05,"Bali, Indonesia",2025-09-17,2025-09-28,2.0,1625.0,18-25,M,Online Ad,,UK,24.0,frequent,Evening,Standard,1610.31,3960.0,118.02,100.0,970.39,12.49,4.34,2.0,0.0
76,2024-09,"Cape Town, South Africa",2024-10-31,2024-11-13,1.0,2235.0,26-35,F,Search Engine,Visa,Mexico,27.0,frequent,Evening,Luxury,677.57,5460.0,136.82,100.0,1174.85,11.75,5.44,0.0,
77,2025-10,"Buenos Aires, Argentina",2026-03-09,2026-03-15,6.0,1569.0,26-35,F,Other,MasterCard,China,,frequent,Afternoon,Luxury,5667.61,13608.0,155.28,100.0,1057.05,21.44,12.19,0.0,
78,2021-05,"Rome, Italy",10/16/2021,2021-10-19,1.0,1478.0,51+,M,Social Media,Visa,Switzerland,68.0,na,Afternoon,Budget,613.71,277.5,100.69,47.49,831.75,11.18,5.76,,1.0
79,2021-09,"Paris, France",2021-11-27,2021-11-30,3.0,2543.0,36-50,M,Search Engine,MasterCard,France,39.0,Frequent Traveler,Morning,Standard,1420.59,2052.0,125.81,,903.23,8.21,,0.0,0.0
80,2024-12,"Tokyo, Japan",2025-01-11,2025-01-20,6.0,,18-25,F,Friend/Family,MasterCard,Argentina,20.0,Frequent Traveler,Morning,Standard,3204.32,11016.0,96.04,100.0,947.93,17.51,8.54,0.0,0.0
81,2023-08,"Buenos Aires, Argentina",2023-09-12,2023-09-20,5.0,997.0,51+,F,Online Ad,Amex,Chile,64.0,na,Evening,Luxury,3905.59,15120.0,153.48,100.0,929.98,19.52,,0.0,
82,2022-12,"Bangkok, Thailand",2023-01-23,2023-02-03,1.0,4119.0,36-50,F,Social Media,MasterCard,Mexico,48.0,frequent,Afternoon,Standard,591.6,2310.0,118.97,100.0,859.13,10.04,3.6,1.0,0.0
83,2022-04,"Barcelona, Spain",2022-09-19,2022-09-27,3.0,3.0,36-50,F,Online Ad,Visa,Venezuela,,na,Morning,Luxury,1362.18,12960.0,149.38,100.0,859.2,8.63,4.68,2.0,
84,2023-01,"Barcelona, Spain",2023-06-25,2023-07-01,1.0,1721.0,51+,F,Friend/Family,Discover,Japan,63.0,na,Evening,Standard,683.65,1296.0,138.81,98.7,715.2,9.76,,0.0,
85,2021-09,"Santiago, Chile",11/29/2021,2021-12-03,3.0,,36-50,F,Search Engine,Visa,Brazil,40.0,VIP,,Standard,2002.2,1843.2,98.18,100.0,1171.94,13.63,,1.0,0.0
86,2024-04,"Cape Town, South Africa",2024-09-12,2024-09-19,1.0,2872.0,26-35,M,Search Engine,Discover,France,34.0,Frequent Traveler,Evening,Standard,746.46,1176.0,96.9,70.57,,11.79,5.23,1.0,1.0
87,2025-07,"Cairo, Egypt",2025-08-24,2025-09-04,7.0,1527.0,26-35,F,Friend/Family,Visa,Brazil,34.0,Frequent Traveler,,Standard,5142.53,12012.0,120.91,100.0,1096.26,26.04,,,
88,2023-01,"Lima, Peru",2023-06-18,2023-06-26,3.0,1196.0,51+,F,Online Ad,MasterCard,India,,Frequent Traveler,Afternoon,Budget,2520.21,1560.0,120.78,100.0,992.22,17.29,13.52,,0.0
89,2025-02,"Cape Town, South Africa",05/17/2025,2025-05-23,1.0,4136.0,26-35,F,Search Engine,Amex,Germany,34.0,na,Afternoon,Standard,849.72,1008.0,94.92,57.59,1096.34,12.61,,0.0,1.0
90,2025-08,"Cape Town, South Africa",2025-12-07,2025-12-10,6.0,4947.0,36-50,F,Search Engine,MasterCard,Iceland,37.0,frequent,Morning,Luxury,4995.22,7560.0,136.45,100.0,837.2,20.79,12.13,0.0,
91,2022-08,"Cairo, Egypt",2022-09-01,2022-09-10,7.0,1167.0,51+,M,Other,Visa,USA,57.0,na,Morning,Standard,5494.16,9828.0,105.65,100.0,947.37,25.91,37.13,0.0,
92,2022-12,"Lima, Peru",2023-01-29,2023-02-10,1.0,418.0,,F,Friend/Family,Visa,Argentina,26.0,na,Afternoon,Luxury,864.4,4680.0,135.38,100.0,1324.58,13.03,5.0,1.0,0.0
93,2025-12,Bangkok;  Thailand,2026-04-17,2026-04-28,3.0,3083.0,26-35,F,Other,Visa,South Korea,26.0,Frequent Traveler,Evening,Standard,1569.54,6930.0,135.78,100.0,780.22,9.74,3.41,1.0,0.0
94,2022-12,"New Delhi, India",2023-04-10,2023-04-20,3.0,2431.0,,F,Other,Amex,China,60.0,na,Afternoon,Budget,2034.42,2100.0,86.25,100.0,949.01,16.35,,,0.0
95,2022-10,"Cairo, Egypt",2022-11-27,2022-12-10,4.0,,36-50,M,Search Engine,Discover,Mexico,47.0,na,Evening,Standard,,8112.0,94.58,100.0,1064.56,15.17,,0.0,0.0
96,2021-07,"Tokyo, Japan",2021-12-15,2021-12-20,1.0,,51+,M,Search Engine,MasterCard,Germany,51.0,na,Afternoon,Standard,544.21,1020.0,121.86,90.48,842.49,10.76,,0.0,
97,2023-09,"Bangkok, Thailand",2024-01-08,2024-01-17,3.0,3231.0,36-50,F,Other,Visa,France,47.0,Frequent,Afternoon,Budget,1480.25,2362.5,70.64,100.0,785.18,10.37,5.4,0.0,0.0
98,2023-05,"Cairo, Egypt",10/03/2023,2023-10-08,4.0,4421.0,18-25,Other,Friend/Family,Visa,Brazil,21.0,na,Morning,Budget,2812.07,1300.0,118.52,100.0,1287.93,16.91,7.19,2.0,0.0
99,2024-06,"New Delhi, India",09/02/2024,2024-09-09,3.0,3573.0,18-25,F,Search Engine,Amex,South Korea,20.0,Frequent Traveler,Evening,Standard,2027.78,3528.0,143.3,100.0,1116.64,11.66,5.63,0.0,
100,2022-07,"Cape Town, South Africa",2022-10-13,2022-10-25,1.0,4158.0,26-35,M,Social Media,Amex,Canada,34.0,Frequent,Morning,Standard,705.79,2016.0,77.89,100.0,1333.96,12.13,,0.0,0.0
101,2025-09,"Marrakech, Morocco",2025-10-24,2025-11-02,2.0,2611.0,36-50,M,Online Ad,,UK,40.0,frequent,Evening,Budget,1189.69,1215.0,104.24,92.41,810.79,12.44,7.81,0.0,0.0
102,2023-08,"Santiago, Chile",11/26/2023,2023-12-09,6.0,3171.0,,F,Social Media,Visa,Portugal,64.0,Frequent Traveler,Evening,Budget,4692.88,4992.0,105.44,100.0,877.69,20.8,16.18,,0.0
103,2025-01,"Tokyo, Japan",2025-03-31,2025-04-09,,882.0,51+,M,Social Media,MasterCard,Germany,,frequent,Afternoon,Luxury,474.75,4590.0,125.29,100.0,673.05,9.33,3.13,0.0,
104,2021-10,"Rome, Italy",2021-11-17,2021-11-28,2.0,1737.0,26-35,M,Search Engine,Visa,UK,30.0,Frequent,Morning,Standard,977.63,4884.0,104.07,100.0,1104.36,7.58,4.07,1.0,1.0
105,2024-09,"New Delhi, India",2024-10-07,2024-10-20,2.0,287.0,51+,M,Other,MasterCard,Mexico,59.0,na,Evening,Standard,1314.92,4368.0,109.02,100.0,784.32,13.98,13.26,0.0,1.0
106,2025-02,"Cape Town, South Africa",03/21/2025,2025-03-24,2.0,4227.0,26-35,F,Search Engine,MasterCard,Canada,26.0,na,Evening,Luxury,1281.84,2520.0,124.04,100.0,1118.18,12.6,6.54,0.0,0.0
107,2024-08,"Bangkok, Thailand",2024-09-16,2024-09-23,2.0,3979.0,26-35,M,Social Media,Visa,Spain,35.0,na,Morning,,1246.61,,170.8,100.0,710.78,8.2,,1.0,0.0
108,2024-11,"Santiago, Chile",2024-12-31,2025-01-03,3.0,1777.0,51+,M,Friend/Family,MasterCard,Panama,64.0,Frequent,Afternoon,Standard,1863.65,1382.4,112.97,100.0,,15.97,,,0.0
109,2021-12,"Johannesburg, South Africa",2022-01-09,2022-01-20,8.0,3542.0,26-35,F,Friend/Family,MasterCard,Japan,35.0,VIP,Evening,Budget,5916.06,5808.0,59.34,100.0,1181.56,28.78,32.81,,
110,2022-08,"Buenos Aires, Argentina",2022-11-01,2022-11-11,1.0,2662.0,36-50,M,Friend/Family,Visa,Austria,50.0,Frequent Traveler,Morning,Standard,,1512.0,129.4,62.88,990.49,13.67,,2.0,
111,2024-10,Bali ( Indonesia,2025-01-10,2025-01-14,7.0,317.0,51+,Other,Social Media,,Mexico,,Frequent,Morning,Budget,4494.66,2100.0,91.31,100.0,704.17,23.23,13.83,0.0,
112,2022-01,"Marrakech, Morocco",2022-03-06,2022-03-18,3.0,,36-50,F,Social Media,Amex,Ethiopia,43.0,na,Evening,Standard,2698.12,5832.0,92.85,100.0,1137.69,13.71,9.04,0.0,
113,2025-05,"Marrakech, Morocco",2025-07-14,2025-07-17,5.0,2067.0,26-35,F,Search Engine,MasterCard,USA,30.0,VIP,Afternoon,Luxury,3123.66,6075.0,136.81,100.0,1028.87,,,1.0,1.0
114,2025-10,New Delhi;  India,01/23/2026,2026-01-27,2.0,3375.0,51+,M,Online Ad,Discover,USA,69.0,frequent,Morning,,1292.12,3360.0,141.32,100.0,679.29,14.95,,,
115,2023-10,"Reykjavik, Iceland",2024-01-02,2024-01-15,,4535.0,51+,F,Friend/Family,MasterCard,USA,51.0,na,Morning,Standard,516.45,2496.0,51.47,100.0,780.91,10.95,4.76,1.0,0.0
116,2024-07,"Rome, Italy",2024-09-30,2024-10-07,1.0,2064.0,36-50,F,Friend/Family,Visa,Japan,50.0,na,Morning,Budget,449.9,647.5,75.5,,592.68,8.89,4.12,0.0,
117,2025-09,"Bali, Indonesia",2026-02-04,2026-02-15,3.0,4756.0,26-35,F,Friend/Family,,Brazil,27.0,vip,Morning,Luxury,1763.86,14850.0,138.74,100.0,964.62,12.62,4.74,0.0,
118,2021-09,"Paris, France",2021-11-10,2021-11-24,8.0,639.0,26-35,F,Online Ad,MasterCard,France,29.0,na,Morning,Budget,3348.27,10640.0,124.08,,1080.95,21.57,9.23,0.0,0.0
119,2022-09,"Bangkok, Thailand",2022-11-26,2022-12-09,4.0,1724.0,26-35,F,Search Engine,MasterCard,Peru,32.0,Frequent Traveler,Afternoon,Standard,1962.09,10920.0,88.45,100.0,1084.44,,6.41,1.0,1.0
120,2023-08,"Tokyo, Japan",2023-12-05,2023-12-13,2.0,333.0,51+,M,Search Engine,MasterCard,Mexico,,na,Morning,Luxury,1094.11,8160.0,142.53,100.0,713.3,10.22,5.15,2.0,1.0
121,2024-06,"Rome, Italy",2024-08-12,2024-08-24,3.0,,36-50,M,Search Engine,Amex,UK,37.0,Frequent,Afternoon,Standard,2009.26,7992.0,88.05,100.0,703.68,8.52,2.96,,
122,2022-07,"Barcelona, Spain",2022-08-20,2022-08-30,1.0,647.0,36-50,F,,Visa,Mexico,48.0,na,Afternoon,Budget,639.72,900.0,96.52,72.38,846.08,6.69,2.59,2.0,0.0
123,2022-03,"Santiago, Chile",2022-08-19,2022-08-22,6.0,2972.0,36-50,F,Online Ad,Visa,Kenya,49.0,na,Evening,Standard,3707.0,2764.8,130.38,100.0,1149.68,22.19,15.69,,
